suite,engine,query_name,median_s,n_success
tpcds,cedardb,query_98.sql,0.289000,10
tpcds,cedardb,query_99.sql,0.108000,10
tpcds,monetdb,query_1.sql,0.089500,10
tpcds,monetdb,query_2.sql,0.233000,10
tpcds,monetdb,query_3.sql,37.287000,10
tpcds,monetdb,query_4.sql,0.114500,10
tpcds,monetdb,query_5.sql,9.263500,10
tpcds,monetdb,query_6.sql,61.827000,10
tpcds,monetdb,query_7.sql,0.165500,10
tpcds,monetdb,query_8.sql,0.258500,10
tpcds,monetdb,query_9.sql,5.073500,10
tpcds,monetdb,query_10.sql,75.638500,10
tpcds,monetdb,query_11.sql,0.015000,10
tpcds,monetdb,query_12.sql,1.458000,10
tpcds,monetdb,query_13.sql,0.079500,10
tpcds,monetdb,query_14.sql,0.359000,10
tpcds,monetdb,query_15.sql,0.300500,10
tpcds,monetdb,query_16.sql,4.663500,10
tpcds,monetdb,query_17.sql,0.245500,10
tpcds,monetdb,query_18.sql,0.076500,10
tpcds,monetdb,query_19.sql,5.103500,10
tpcds,monetdb,query_20.sql,6.312500,10
tpcds,monetdb,query_21.sql,0.016000,10
tpcds,monetdb,query_22.sql,0.250500,10
tpcds,monetdb,query_23.sql,0.345500,10
tpcds,monetdb,query_24.sql,1.550500,10
tpcds,monetdb,query_25.sql,0.312000,10
tpcds,monetdb,query_26.sql,0.375500,10
tpcds,monetdb,query_27.sql,0.169500,10
tpcds,monetdb,query_28.sql,1.398000,10
tpcds,monetdb,query_29.sql,0.275500,10
tpcds,monetdb,query_30.sql,3.942000,10
tpcds,monetdb,query_31.sql,0.166500,10
tpcds,monetdb,query_32.sql,0.514500,10
tpcds,monetdb,query_33.sql,0.697000,10
tpcds,monetdb,query_34.sql,0.016000,10
tpcds,monetdb,query_35.sql,46.262000,10
tpcds,monetdb,query_36.sql,0.509500,10
tpcds,monetdb,query_37.sql,0.732000,10
tpcds,monetdb,query_38.sql,28.965500,10
tpcds,monetdb,query_39.sql,1.544500,10
tpcds,monetdb,query_40.sql,0.062000,10
tpcds,monetdb,query_41.sql,13.018500,10
tpcds,monetdb,query_42.sql,1.504500,10
tpcds,monetdb,query_43.sql,276.417500,10
tpcds,monetdb,query_44.sql,0.066000,10
tpcds,monetdb,query_45.sql,0.181500,10
tpcds,monetdb,query_46.sql,16.792000,10
tpcds,monetdb,query_47.sql,4.533500,10
tpcds,monetdb,query_48.sql,3.345000,10
tpcds,monetdb,query_49.sql,0.741000,10
tpcds,monetdb,query_50.sql,7.722000,10
tpcds,monetdb,query_51.sql,19.656500,10
tpcds,monetdb,query_52.sql,10.236500,10
tpcds,monetdb,query_53.sql,5.099500,10
